اسم الأكله,وقت الوجبة,عدد الاشخاص,الوقت,السعرات الحرايه,المقادير,التحضير,الصورة
      جبنة الكنافة          ,حلو,    6 أشخاص    ,    120 دقيقة    ,    407 سعرة حرارية    ,"      4 كيلو (4000 جم) حليب  ,   ½ كوب (120 مل) خل أبيض  ,   2 ملعقة كبيرة (30 جم) زبادي      ","      على نار متوسطة، ضعي الحليب، واتركيه حتى يغلي.  ,   ارفعي الحليب عن النار، واتركيه يبرد (40 درجة مئوية).  ,   أضيفي الخل والزبادي وقلبي، ثم غطي القدر، واتركيه في مكان دافئ لمدة 5 – 6 ساعات.  ,   أحضري مصفاة وضعي داخلها شاشًا أبيض نظيفًا، ثم ضعي تحت المصفاة وعاء كبيرًا.  ,   ضعي الخليط (الجبن) بالمصفاة ثم لفي الشاش، ثم ضعي شيئًا ثقيلًا عليها حتى تتخلص تمامًا من الماء.  ,   اتركي الجبن لمدة 3 – 4 ساعات حتى تتصفى من الماء تمامًا.  ,   ضعي الجبن في وعاء كبير، واستخدميه في حشو الكنافة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/097/757/mobile-watermarked-large-card/%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%B9%D9%85%D9%84-%D8%AC%D8%A8%D9%86%D8%A9-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9.jpg
      بان كيك الكنافة          ,حلو,    4 أشخاص    ,    75 دقيقة    ,    2058 سعرة حرارية    ,"      ¾ كيلو (750 جم) كنافة  ,   ¾ كوب (150 جم) سمن ذائب  ,   ¼ 1 كوب (185 جم) دقيق  ,   ¼ 1 كوب (300 مل) حليب  ,   2 بيضة  ,   3 ملاعق كبيرة (45 جم) سكر  ,   2 ملعقة كبيرة (30 جم) زبدة مذابة  ,   ¼ ملعقة صغيرة (1.25 جم) ملح  ,   ملعقة صغيرة (5 مل) فانيليا سائلة  ,   ¼ كوب (60 مل) قِطر  ,   كوب (200 جم) مكسرات مجروشة      ","      في وعاء كبير، ضعي الكنافة والسمن، وافركيهما جيدًا.  ,   على نار متوسطة، ضعي الكنافة وقلبيها جيدًا حتى يُصبح لونها ذهبيًّا.  ,   في وعاء كبير، ضعي الدقيق والحليب والبيض والسكر والزبدة والملح والفانيليا، وقلبي جيدًا حتى تختلط المكونات.  ,   أضيفي نصف كمية الكنافة، وقلبي جيدًا.  ,   على نار متوسطة، سخني مقلاة غير قابلة للالتصاق، وادهنيها بالزيت، ثم صبي مقدار ¼ كوب من العجين، واتركيها لمدة دقيقتين.  ,   اقلبي بان كيك الكنافة على الجهة الأخرى، واتركيها لمدة دقيقتين.  ,   أضيفي الشربات إلى باقي الكنافة، وقلبيها جيدًا.  ,   في طبق التقديم، ضعي طبقة من البان كيك ثم الكنافة ثم المكسرات.  ,   كرري هذه الخطوات، ثم قدميها مع العسل والفاكهة والكريم شانتيه.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/097/756/mobile-watermarked-large-card/%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%86-%D9%83%D9%8A%D9%83-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9.jpg
      كنافة باونتي          ,حلو,    10 أشخاص    ,    60 دقيقة    ,    645.34 سعرة حرارية    ,"      كوب (200 جم) عجين كنافة.  ,   3 ملاعق كبيرة (30 جم) سكر بودرة.  ,   ½ كوب (100 جم) زبد ذائب.  ,   2 ملعقة كبيرة (30 مل) حليب مكثف محلى.      ","      في وعاء كبير، فتتي عجين الكنافة، ثم أضيفي السكر البودرة وقلبي جيدًا.  ,   أضيفي الزبد الذائب إلى الكنافة، وقلبي حتى تتشرب الكنافة الزبد.  ,   ادهني صينية تارت مقاس 24 سنتيمترًا بالزبد، ثم ضعي الكنافة بالقالب.  ,   اضغطي على الكنافة في أرضية القالب والجوانب بقعر كوب جيدًا.  ,   سخني الفرن على درجة حرارة 200 مئوية، ثم اخبزي الكنافة حتى تكتسب اللون الذهبي.  ,   اسقي الكنافة فور خروجها من الفرن بملعقتين كبيرتين حليب مكثف محلى، واتركيها تبرد تمامًا قبل حشيها.  ,   لعمل حشو الباونتي، ضعي كريمة جوز الهند وزيت جوز الهند وعسل الجلوكوز في قدر على نار متوسطة.  ,   ارفعي خليط كريمة جوز الهند من على النار بمجرد أن يبدأ الغليان.  ,   أضيفي جوز الهند المبشور والفانيليا إلى الخليط، ثم قلبي جيدًا، ثم صبي الخليط في قالب الكنافة دون ملئها للنهاية، حتى تجدي مساحة كافية لوضع طبقة الشوكولاتة، ثم ضعيها في الثلاجة حتى تتماسك.  ,   لعمل طبقة الشوكولاتة، سخني كريمة جوز الهند، ثم ارفعيها من على النار.  ,   أضيفي الشوكولاتة المبشورة، وقلبي حتى تذوب تمامًا.  ,   صبي خليط الشوكولاتة فوق طبقة كريمة جوز الهند في قالب الكنافة، ثم ضعيها في الثلاجة حتى تتماسك.  ,   أخرجي الكنافة من قالب التارت، وضعيها في طبق التقديم، وزينيها بقطع شوكولاتة باونتي أو بشرائح جوز الهند، ثم قدميها.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/111/036/mobile-watermarked-large-card/%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%88%D9%86%D8%AA%D9%8A.jpg
      كاسات الكنافة بالمانجو          ,حلو,    6 أشخاص    ,    30 دقيقة    ,    1135 سعرة حرارية    ,"      500 جم كنافة.  ,   ½ كوب (113 جم) زبدة.  ,   2 عبوة كريمة بودرة.  ,   كوب (240 مل) عصير مانجو.  ,   3 ثمرات مانجو مُقطعة مكعبات.  ,   مكسرات مجروشة للتزيين.      ","      حضري القطر، امزجي الماء والسكر واغلي المزيج، ثم خففي النار واتركيهعشر دقائق حتى يتكاثف، ثم أضيفي عصير الليمون، واتركيه يبرد إلى أن يصل إلى درجة حرارة الغرفة.  ,   سخني الزبدة، ثم أضيفي الكنافة بعد فركها جيدًا، وقلبي إلى أن تكتسب لونًا ذهبيًا فاتح.  ,   أعدي الكريمة البودرة حسب إرشادات العبوة بعصير المانجو، (يمكنكِ استخدام الحليب بدلًا من عصير المانجو).  ,   وزعي طبقة من الكنافة في كؤوس التقديم، وأضيفي إليها قليلًا من القطر، ثم طبقة من قطع المانجو، ثم طبقة من الكريمة.  ,   أضيفي طبقة من الكنافة ثانية، وأضيفي إليها قليلًا من القطر، ثم طبقة من قطع المانجو، ثم طبقة من الكريمة، وزيني بِقطع مانجو ومكسرات مجروشة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/109/469/mobile-watermarked-large-card/%D9%83%D8%A7%D8%B3%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D8%A7%D9%86%D8%AC%D9%88.jpg
      الكنافة بالنوتيلا          ,حلو,    4 أشخاص    ,    25 دقيقة    ,    953 سعرة حرارية    ,"      ½ ك كنافة  ,   شوكولاتة نوتيلا  ,   100 جرام زبدة، لينة  ,   شراب القطر  ,   زبدة للدهن      ","      فكّى الكنافة من بعضها. سخنى الزبدة على النار وفور ذوابانها صبيها على الكنافة بالتساوى وقلبيها جيدا باستخدام يديكِ حتى تتشرب الكنافة من الزبدة جيدا.  ,   سخنى الفرن على 250 درجة مئوية. قسمى الكنافة على قسمين.  ,   ادهنى صينية الخبز بقليل وضعى نصف كمية الكنافة فيها واضغطى عليها لتشكل قرص مستوى.   ,   كررى العملية فى صينية اخرى نفس النوع والمقاس مع النصف الاخر من الكنافة. ادخلى قرصى الكنافة فى الفرن واتركيهم حتى يصبح لونهم ذهبى مقرمش.  ,   اخرجى الكنافة من الفرن وصبى على القرصين الساخنين شراب القطر. اتركى الكنافة حتى تبرد وتتشرب القطر كليا.  ,   فى طبق التقديم ضعى قرص واحد من الكنافة على الطبق.   ,   افردى شوكولاتة النوتيلا على السطح بالكمية التى ترغبين بها. غطى طبقة الشوكولاتة النوتيلا بقرص الكنافة الاخر. يمكنك تزيين السطح بالكريمة المخفوقة او الفستق الحلبى المبشور.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/038/574/mobile-watermarked-large-card/%25D9%2583%25D9%2586%25D8%25A7%25D9%2581%25D8%25A9%2520%25D8%25A8%25D8%25A7%25D9%2584%25D9%2586%25D9%2588%25D8%25AA%25D9%258A%25D9%2584%25D8%25A7.jpg
      الكنافة التونسية          ,حلو,    8 أشخاص    ,    80 دقيقة    ,    963 سعرة حرارية    ,"      ½ كيلو (500 جم) كنافة.  ,   ½ 1 كوب (375 مل) شربات.  ,   كوب (200 جم) زبدة ذائبة.  ,   ⅔ كوب (100 جم) سكر بودرة.  ,   كوب (200 جم) لوز مجروش.  ,   ¾ كوب (150 جم) بندق مجروش.  ,   ½ كوب (100 جم) فستق مجروش.  ,   2 ملعقة كبيرة (30 مل) ماء ورد.      ","      سخني الفرن عند درجة حرارة 170 درجة مئوية.  ,   في وعاء كبير، ضعي البندق واللوز وماء الورد والسكر، وقلبي جيدًا.  ,   في وعاء كبير، فتتي الكنافة، ثم أضيفي ربع كوب من الزبد، وقلبي جيدًا.  ,   في صينية مدهونة بقليل من الزبد، أضيفي نصف كمية الكنافة، ثم وزعي ربع كوب من الزبد فوق الكنافة.  ,   وزعي الحشو فوق الكنافة، ثم باقي الكنافة، ثم وزعي باقي الزبد فوق الكنافة.  ,   ضعي الصينية في الفرن لمدة 30 دقيقة حتى تُصبح ذهبية اللون.  ,   أخرجي الكنافة، ثم صبي الشربات فور خروجها، وزينيها بالفستق، واتركيها جانبًا حتى وقت التقديم، أو قدميها دافئة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/105/312/mobile-watermarked-large-card/%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9.jpg
      الكنافة بالفواكه          ,حلو,    8 أشخاص    ,    80 دقيقة    ,    811 سعرة حرارية    ,"      ½ كيلو (500 جم) كنافة  ,   ¾ كوب (150 جم) سمن  ,   2 كوب (500 مل) كريمة خفق سائلة  ,   ½ كوب (75 جم) سكر بودرة  ,   3 أكواب (600 جم) فواكه مشكلة (تفاح، أنانس، كمثرى، كيوي، خوخ، فراولة، توت)  ,   ½ 1 كوب (375 مل) عصير أناناس  ,   ملعقة صغيرة (5 جم) نشا      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   في وعاء كبير، ضعي الكنافة والسمن، وافركيهما حتى تُصبح ناعمة.  ,   ضعي الكنافة في صينية، ثم ضعيها في الفرن لمدة 15 دقيقة حتى يُصبح لونها ذهبيًّا.  ,   قطعي الفواكه إلى مكعبات صغيرة.  ,   على نار متوسطة، ضعي عصير الأناناس والنشا، وقلبي باستمرار حتى يغلي الخليط ويغلظ.  ,   صبي الخليط فوق الفواكه، وقلبي جيدًا حتى تختلط المكونات، ثم ضعيه في الثلاجة.  ,   في وعاء كبير، ضعي الكريمة والسكر البودرة، واخفقي بالمضرب الكهربائي حتى يُصبح الخليط كريميًّا.  ,   في صينية بايركس، ضعي طبقة من الكنافة، ثم الكريمة، ثم الفاكهة، ثم طبقة من الكنافة، ثم الكريمة، ثم الفاكهة.  ,   ضعي الكنافة في الثلاجة لحين تقديمها.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/098/250/mobile-watermarked-large-card/%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%84%D9%81%D9%88%D8%A7%D9%83%D9%87.jpg
      الكنافة بالسميد          ,حلو,    8 أشخاص    ,    75 دقيقة    ,    855 سعرة حرارية    ,"      3 أكواب (450 جم) سميد.  ,   2 كوب (300 جم) سكر ناعم.  ,   ¼ 1 كوب (250 جم) سمن أو زبد.  ,   3 أكواب (600 جم) جبن العكاوي.  ,   ½ كوب (100 جم) جبن موتزاريلا.  ,   شربات.      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   في وعاء، ضعي السميد وكوب سكر واخلطي جيدًا حتى تتشكل لديكِ عجينة.  ,   ضعي العجينة في الفرن لمدة 10 دقائق، ثم أخرجيها من الفرن.  ,   اتركي العجينة ترتاح 5 دقائق، ثم ضعيها في وعاء الخلاط واضربيها حتى تُصبح مثل حبات الرمل.  ,   في وعاء، اخلطي جبن العكاوي مع كوب سكر.  ,   افركي عجين السميد مع السمن أو الزبد ثم اقسمي العجين نصفين.  ,   ادهني صينية الفرن بالزبد أو السمن، ثم ضعي نصف مقدار عجين السميد ووزعي فوقه جبن الموتزاريلا.  ,   ضعي جبن العكاوي فوق طبقة جبن الموزاريلا ثم فوقه باقي السميد واضغطي جيدًا حتى تتساوى.  ,   أدخلي الصينية إلى الفرن لمدة 30 -40 دقيقة، ثم أخرجيها.  ,   اتركي الكنافة تبرد قليلًا ثم أضيفي الشربات وقدميها في أطباق التقديم.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/105/436/mobile-watermarked-large-card/%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%84%D8%B3%D9%85%D9%8A%D8%AF.jpg
      أصابع الكنافة          ,حلو,    8 أشخاص    ,    60 دقيقة    ,    783 سعرة حرارية    ,"      ½ كيلو (500 جم) كنافة شعر.  ,   ¼ كيلو (250 جم) سمن ذائب.  ,   الحشو (مكسرات مشكلة وفستق ومهلبية وجبنة عكاوي).  ,   ½ 1 كوب (375 مل) قِطر (شربات) للحلويات .      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   افردي الكنافة إلى شرائح بعرض أربعة سنتيمترات تقريبًا، ثم ضعي الحشو الذي ترغبين فيه على طرف الكنافة، ثم لفيها أصابع.  ,   رصي أصابع الكنافة في صينية مدهونة بالسمن، ثم اسقيها من الأعلى بباقي السمن.  ,   ضعي الصينية في الفرن لمدة 20 – 25 دقيقة، حتى تُصبح الكنافة ذهبية اللون.  ,   اسقي الكنافة بالشربات فور خروجها من الفرن، ثم قدميها دافئة مع المشروبات الساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/109/775/mobile-watermarked-large-card/%D8%A3%D8%B5%D8%A7%D8%A8%D8%B9-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9.jpg
      الكنافة بالطاسة          ,حلو,    6 أشخاص    ,    45 دقيقة    ,    796 سعرة حرارية    ,"      ¼ كيلو (250 جم) كنافة  ,   ¾ كوب (150 جم) زبدة ذائبة، أو سمنة ذائبة  ,   ½ 1 كوب (300 جم) مكسرات مجروشة (فول سوداني، بنذق، لوز، عين جمل، زبيب، جوز هند)  ,   ½ 1 كوب (375 مل) شربات      ","      في وعاء كبير، فتتي الكنافة، ثم أضيفي الزبدة، وقلبي حتى تمتزج المكونات.  ,   في مقلاة كبيرة مدهونة بالقليل من الزبدة، وزعي نصف كمية الكنافة، واضغطي عليها حتى تتساوى.  ,   وزعي المكسرات، ثم افردي الطبقة الثانية من الكنافة، واضغطي عليها جيدًا حتى تتساوى.  ,   ضعي المقلاة على نار متوسطة، وحركيها بشكل دائري على النار لمدة 10 – 12 دقيقة حتى تُصبح ذهبية اللون.  ,   اقلبي الكنافة على الجهة الأخرى، ثم حركيها على النار لمدة 10 دقائق حتى تُصبح ذهبية اللون.  ,   اسقي الكنافة فورًا بالشربات، ثم قدميها مع المشروبات الساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/104/776/mobile-watermarked-large-card/%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%84%D8%B7%D8%A7%D8%B3%D8%A9.jpg
      كنافة بالمهلبية          ,حلو,    8 أشخاص    ,    90 دقيقة    ,    690 سعرة حرارية    ,"      ½ كيلو (500 جم) كنافة.  ,   ½ كوب (100 جم) سمنة ذائبة.  ,   ½ كيلو (500 جم) حليب.  ,   ½ كوب (100 جم) سكر.  ,   2 ملعقة كبيرة (20 جم) نشا.  ,   ملعقة كبيرة (15 مل) ماء ورد.  ,   ½ 1 كوب (360 مل) قِطر.      ","      ذوّبي النشا في الحليب البارد، ثم ضعي الخليط على نار متوسطة.  ,   أضيفي السكر، وقلبي باستمرار حتى يغلي الحليب ويغلظ، ثم أضيفي ماء الورد وقلبي، ثم ارفعيه من على النار واتركيه جانبًا.  ,   في وعاء كبير، ضعي الكنافة والسمنة، وافركيهما جيدًا، ثم ادهني صينية فرن (مقاس 22) بالسمنة.  ,   وزعي نصف كمية الكنافة في قاع الصينية، ثم ضعي المهلبية، ثم وزعي باقي الكنافة، واضغطي عليها بيديكِ حتى تتساوى.  ,   ضعي الصينية في الفرن لمدة 30–40 دقيقة، حتى يُصبح لونها ذهبيًا.  ,   صبي الشربات فور خروجها من الفرن، ثم قدميها.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/097/758/mobile-watermarked-large-card/%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D9%87%D9%84%D8%A8%D9%8A%D8%A9.jpg
      الكنافة باللبن          ,حلو,    6 أشخاص    ,    40 دقيقة    ,    910 سعرة حرارية    ,"      ½ كيلو (500 جم) كنافة.  ,   ½ 1 كوب (300 جم) زبد ذائب، أو سمن.  ,   ⅓ كوب (66.5 جم) سكر.  ,   2 كوب (500 مل) حليب.      ","      في وعاء كبير، ضعي الكنافة، ثم وزعي الزبد فوقها وقلبي حتى تتشرب الكنافة الزبد.  ,   ضعي الكنافة في صينية مدهونة بقليل من الزبد.  ,   على نار متوسطة، ضعي صينية الكنافة، وحركيها بصورة دائرية لمدة خمس إلى عشر دقائق حتى تُصبح ذهبية اللون.  ,   اقلبي الكنافة على الجهة الأخرى، وحركيها بصورة دائرية حتى تُصبح ذهبية اللون.  ,   على نار متوسطة، ضعي الحليب والسكر، وقلبي جيدًا حتى يغلي.  ,   صبي الحليب المغلي على الكنافة بعد أن تبرد، ثم قطعيها وقدميها مع المشروبات الساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/105/548/mobile-watermarked-large-card/%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9-%D8%A8%D8%A7%D9%84%D9%84%D8%A8%D9%86.jpg
      مولتن الكنافة          ,حلو,    8 أشخاص    ,    80 دقيقة    ,    949 سعرة حرارية    ,"      ½ كيلو (500 جم) كنافة  ,   ¾ كوب (150 جم) سمن أو زبدة ذائبة  ,   ½ كوب (120 مل) شربات  ,   ½ كيلو (500 جم) شوكولاتة مقطعة مكعبات  ,   كوب (250 مل) كريمة سائلة      ","      في وعاء كبير، قطعي الكنافة قطعًا صغيرة الحجم.  ,   على نار متوسطة، ضعي السمن، ثم أضيفي الكنافة، وقلبيها حتى تتحمر.  ,   ضعي الكنافة في وعاء كبير، ثم أضيفي إليها الشربات، وقلبي حتى تتماسك قليلًا.  ,   على نار متوسطة، سخني الكريمة، ثم صبيها فوق الشوكولاتة، وقلبي حتى تذوب الشوكولاتة.  ,   غلفي قوالب المولتن بالنايلون، ثم وزعي الكنافة في قاع وأطراف القوالب.  ,   صبي الشوكولاتة فوق الكنافة، ثم غطيها بالكنافة، ثم ضعيها في الثلاجة.  ,   عند التقديم، اقلبي الكنافة في طبق التقديم، ثم أزيلي النايلون، ثم سخنيها في الميكروويف لمدة دقيقة، ثم قدميها.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/097/750/mobile-watermarked-large-card/%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%B9%D9%85%D9%84-%D9%85%D9%88%D9%84%D8%AA%D9%86-%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%81%D8%A9.jpg
      بسبوسة السينابون          ,حلو,    8 أشخاص    ,    40 دقيقة    ,    2632  سعرة حرارية    ,"      كوب (120 جم) سميد.  ,   ½ كوب (100 جم) سكر بني.  ,   ½ كوب (120 مل) زيت نباتي.  ,   كوب (120 جم) حليب بودرة.  ,   بيضة.  ,   علبة قشدة.  ,   علبة حليب مكثف.  ,   ½ كوب (100 جم) جبن كريمي.  ,   ⅓ كوب (80 مل) ماء.  ,   2 ملعقة كبيرة (20 جم) قرفة مطحونة.  ,   ملعقة كبيرة (10 جم) كاكاو.  ,   ملعقة كبيرة (10 جم) بيكنج باودر.  ,   ملعقة صغيرة (5 جم) فانيليا.  ,   شربات (قطر).      ","      سخني الفرن عند 180 درجة مئوية.  ,   في وعاء، ضعي القشدة والبيض والفانيليا والزيت والماء، واخلطي المكونات حتى تتجانس.  ,   أضيفي الكاكاو والقرفة المطحونة والسكر البني، ثم اخلطي المكونات جيدًا.  ,   أضيفي الحليب البودرة والسميد والبيكنج باودر، ثم اخلطي جميع المكونات حتى تحصلي على خليط متجانس.  ,   ادهني صينية الفرن بالزيت، ثم صبي مزيج البسبوسة وأدخليها الفرن حتى تنضج ويحمر الوجه.  ,   في وعاء الخلاط الكهربائي، ضعي الحليب المكثف المحلى والجبن الكريمي واخلطيها جيدًا.  ,   أخرجي البسبوسة من الفرن، ثم ضعي الشربات البارد فوقها وهي ساخنة.  ,   وزعي مزيج الحليب المكثف على وجه البسبوسة، ثم أدخليها إلى الفرن عشر دقائق إضافية.  ,   أخرجي الصينية من الفرن وزيني الوجه بالقرفة المطحونة، وقدمي بسبوسة السينابون مع القهوة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/111/526/mobile-watermarked-large-card/%D8%A8%D8%B3%D8%A8%D9%88%D8%B3%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D9%86%D8%A7%D8%A8%D9%88%D9%86.jpg
      بسبوسة بالمانجو          ,حلو,    10 أشخاص    ,    45 دقيقة    ,    350 سعرة حرارية    ,"      ½ كيلو (500 جم) سميد.  ,   كوب (240 مل) عصير مانجو.  ,   كوب زبادي.  ,   ½ كوب (113 جم) سمن.  ,   ½ كوب (100 جم) جوز هند.  ,   ½ كوب (100 جم) سكر أبيض.  ,   ملعقة كبيرة (10 جم) بيكنج باودر.  ,   ملعقة كبيرة (10 جم) عسل أبيض.  ,   ملعقة صغيرة (5 جم) فانيليا.  ,   قطر (شربات).  ,   قطع مانجو للتزيين.      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   ضعي السميد والسكر وجوز الهند والبيكنج باودر والعسل في وعاء، وقلبي جيدًا.  ,   أضيفي الزبادي والسمن وقلبي، ثم أضيفي عصير المانجو، وقلبي حتى تمتزج المكونات.  ,   ادهني صينية بالسمن، وضعي فيها خليط البسبوسة، وأدخليها الفرن حتى تنضج ويتحمر الوجه.  ,   اخرجي البسبوسة من الفرن، واسقيها بالشربات على الفور، ثم زيني الوجه بقطع المانجو بعد أن تهدأ، وقدميها.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/194/mobile-watermarked-large-card/edec704256389af4.jpg
      بسبوسة رمضان          ,حلو,    8 أشخاص    ,    75 دقيقة    ,    1302 سعرة حرارية    ,"      2 كوب (400 جم) سميد ناعم.  ,   ½ كوب (100 جم) زبادي.  ,   ¾ كوب (150 جم) سكر.  ,   ¾ كوب (150 جم) جوز هند مبشور.  ,   ½ كوب (125 مل) زيت.  ,   بيضة كبيرة.  ,   ملعقة كبيرة (10 جم) بيكنج باودر.  ,   ملعقة صغيرة (5 مل) فانيليا سائلة.  ,   ¾ كوب (150 جم) لوز مقشر.  ,   كوب (250 مل) شربات.      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   في وعاء كبير، ضعي جميع المقادير عدا الشربات واللوز، وقلبي جيدًا.  ,   افردي العجينة في صينية مدهونة بالزبدة، ثم قطعيها إلى مكعبات.  ,   ضعي في كل مربع حبة لوز، ثم ضعي الصينية في الفرن لمدة 30 دقيقة حتى تُصبح ذهبية اللون.  ,   وزعي الشربات فوق البسبوسة فور خروجها من الفرن، ثم اتركيها حتى تبرد.  ,   ضعي البسبوسة في أطباق التقديم، ثم قدميها لعائلتكِ بعد وجبة الإفطار في رمضان.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/105/247/mobile-watermarked-large-card/%D8%A8%D8%B3%D8%A8%D9%88%D8%B3%D8%A9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86.jpg
      كب كيك البسبوسة          ,حلو,    6 أشخاص    ,    75 دقيقة    ,    830 سعرة حرارية    ,"      2 كوب (400 جم) سميد  ,   كوب (200 جم) سكر  ,   ½ كوب (100 جم) زبد في درجة حرارة الغرفة  ,   2 بيضة  ,   2 ملعقة كبيرة (30 جم) جوز هند مبشور  ,   2 ملعقة صغيرة (10 جم) بيكنج باودر  ,   ملعقة صغيرة (5 مل) فانيليا سائلة  ,   كوب (240 مل) قِطر  ,   ½ 1 كوب (300 جم) قشطة للحلويات      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   في وعاء كبير، ضعي الزبد والسكر، واخفقي بالمضرب الكهربائي لمدة دقيقتين.  ,   أضيفي البيضة تلو الأخرى، مع الاستمرار بالخفق، ثم أضيفي الفانيليا.  ,   أضيفي السميد والبيكنج باودر وجوز الهند، واعجني جيدًا.  ,   في صواني الكب كيك، ضعي أوراق الكب كيك، ثم ضعي ملعقتين كبيرتين في كل فتحة، ثم ملعقتين من القشطة، ثم ضعي باقي العجين فوق القشطة.  ,   ضعي الصينية في الفرن لمدة 20 دقيقة، ثم أخرجيها من الفرن، وصبي القطر فورًا وهي ساخنة.  ,   ضعي كب كيك البسبوسة في طبق التقديم، وزينيها بجوز الهند المبشور.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/096/683/mobile-watermarked-large-card/%D9%83%D8%A8-%D9%83%D9%8A%D9%83-%D8%A7%D9%84%D8%A8%D8%B3%D8%A8%D9%88%D8%B3%D8%A9.jpg
      بسبوسة نوتيلا          ,حلو,    6 أشخاص    ,    30 دقيقة    ,    762.93 سعرة حرارية    ,"      كوب (150 جم) سميد.  ,   ¾ كوب (150 جم) + 2 ملعقة كبيرة (25 جم) قشدة.  ,   ¾ كوب (150 جم) + 2 ملعقة كبيرة (25 جم) لبن رائب.  ,   ½ كوب (125 مل) زيت.  ,   ½ كوب (100 جم) سكر.  ,   كوب (150 جم) حليب بودرة.  ,   ملعقة كبيرة (10 جم) بيكنج باودر.  ,   رشة فانيليا.  ,   ½ كوب حليب مكثف محلى + نوتيلا للتزيين.      ","      اخلطي القشدة واللبن الرائب والزيت والسكر والفانيليا، وقلبي جيدًا.  ,   في وعاء منفصل، اخلطي السميد والحليب والبيكنج بودر، ثم أضيفي الخليط الجاف إلى السائل، واخلطي جيدًا.  ,   جهزي الحشو، اخلطي القشدة مع النوتيلا، ثم ضعي المزيج في كيس حلواني أو بلاستيك نظيف.  ,   في صينية فرن مدهونة بالزيت، أضيفي نصف كمية خليط البسبوسة، ثم قصي زاوية صغيرة من كيس الحشو ووزعي الخليط.  ,   أضيفي الكمية المتبقية، ثم اخبزي في فرن مُسخن مُسبقًا على درجة حرارة 180، مدة 20 دقيقة حتى تكتسب لونا ذهبيًا.  ,   أضيفي الحليب المكثف إلى الوجه، وزيني بالنوتيلا.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/110/557/mobile-watermarked-large-card/%D8%A8%D8%B3%D8%A8%D9%88%D8%B3%D8%A9-%D9%86%D9%88%D8%AA%D9%8A%D9%84%D8%A7.jpg
